attachments_num,email_subject_length,content_transfer_encoding_base64_num,content_disposition_attachment_num,content_disposition_num,content_disposition_unique_num,attachments_total_size,content_type_multipart_mixed_num,content_type_total_num,content_type_unique_num,content_transfer_encoding_unique_num,content_transfer_encoding_total_num,email_span_time,total_size_EmailMessage_in_bytes,email_eml_string_total_size_in_bytes,body_plain_text_length,Classification
0,81,0,0,0,0,0,0,1,1,1,1,1,56,8324,0,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,2,56,16799,0,Phishing
0,29,0,0,0,0,0,0,1,1,1,1,13,56,7623,0,Phishing
0,27,2,0,0,0,0,0,2,2,1,2,9161,56,37144,18452,Phishing
0,48,0,0,0,0,0,0,1,1,1,1,13129,56,4199,0,Phishing
0,62,0,0,0,0,0,0,1,1,1,1,6,56,10186,0,Phishing
0,52,0,0,0,0,0,0,2,2,1,2,656,56,8405,397,Phishing
0,34,0,0,0,0,0,0,1,1,1,1,2546,56,4131,0,Phishing
0,43,0,0,0,0,0,0,1,1,0,0,12,56,18393,0,Phishing
0,6,0,0,0,0,0,0,2,2,1,2,51209,56,13652,477,Phishing
0,56,0,0,0,0,0,0,1,1,0,0,2,56,6186,0,Phishing
0,56,0,0,0,0,0,0,1,1,0,0,2,56,6186,0,Phishing
0,22,0,0,0,0,0,0,2,2,1,2,61,56,7011,1365,Phishing
0,21,2,0,0,0,0,0,2,2,1,2,11693,56,21638,8969,Phishing
0,12,2,0,0,0,0,0,2,2,1,2,664,56,81091,42095,Phishing
0,53,0,0,0,0,0,0,2,2,1,2,1988,56,11766,414,Phishing
0,26,0,0,0,0,0,0,2,2,1,2,2,56,7300,1717,Phishing
1,41,0,1,1,1,48348,0,4,3,1,4,24027,56,64237,2604,Phishing
0,15,0,0,0,0,0,0,2,2,1,2,2,56,17420,725,Phishing
0,15,0,0,0,0,0,0,2,2,1,2,7,56,12527,655,Phishing
0,28,0,0,0,0,0,0,1,1,1,1,1191,56,10651,0,Phishing
0,28,0,0,0,0,0,0,1,1,1,1,396,56,10651,0,Phishing
0,16,0,0,0,0,0,0,1,1,1,1,5961,56,9126,0,Phishing
0,29,0,0,0,0,0,0,1,1,1,1,554,56,14144,0,Phishing
0,28,0,0,0,0,0,0,1,1,1,1,8,56,8031,0,Phishing
0,21,0,0,0,0,0,0,1,1,1,1,1147,56,11239,0,Phishing
0,22,0,0,0,0,0,0,1,1,0,0,2,56,6514,0,Phishing
0,22,2,0,0,0,0,0,2,2,1,2,3,56,118869,64328,Phishing
0,24,2,0,0,0,0,0,2,2,1,2,21012,56,61634,32381,Phishing
0,24,2,0,0,0,0,0,2,2,1,2,1,56,61479,32284,Phishing
0,26,2,0,0,0,0,0,2,2,1,2,2,56,61363,32158,Phishing
0,12,2,0,0,0,0,0,2,2,1,2,163,56,9185,3393,Phishing
0,27,0,0,0,0,0,0,2,2,2,2,133589,56,90793,1370,Phishing
0,52,0,0,0,0,0,0,2,2,1,2,74689,56,17777,109,Phishing
